alcohol,alfalfa,anise,apple juice,apples,apricots,artichoke,arugula,asparagus,basil,beans ,beef,beer,beets,berries,bread,broccoli,brussel sprouts,cabbage,cake,calories,candy,carbs,carrots,cauliflower,celery,cereal,cheese,cherries,chicken,chickpeas,chives,chocolate,cilantro,coconuts,cook level,cook style,cookies,corn,cornbread,cuisine,dairy,dates,dill,eggs,endive,fat,fennel,fiber,fish,fudge,garlic,ginger,gluten,grains,grapefruit,grapefruit juice,horseradish,hot peppers,ice cream,kale,kohlrabi,lamb,leek,lemons,lentils,lettuce,limes,lychees,mangoes,meal time,meat,melon,milk,mushrooms,nuts,okra,onions,orange juice,oranges,oregano,pancakes,parsley,parsnips,pasta,peaches,pears,peas,peppers,plums,pomeloes,portion size,potatoes,price,protein,pudding,pumpkin,radish,rhubarb,rice,rosemary,rutabegas,sage,salmon,salt,sardines,scallions,shallots,soda,sour,soy,spicy,spinach,sprouts,squash,strawberries,sweet,thyme,tomato,tortilla,tuna,turkey,turnips,waffles,wasabi,water,wine,yams,meal id
boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,nominal,boolean,nominal,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,nominal,nominal,boolean,boolean,boolean,nominal,boolean,boolean,boolean,boolean,boolean,nominal,boolean,nominal,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,nominal,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,nominal,boolean,nominal,nominal,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,nominal,boolean,boolean,boolean,boolean,nominal,boolean,nominal,boolean,boolean,boolean,boolean,nominal,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,id
1,,,,,,,,1,,,,1,,,,,,1,1,low,0,low,,,,,,,,,,,,,medium,,,,,,,0,,,0,,,,1,,1,,,,0,,,,,1,0,,,,,,,,,breakfast,,,,0,,,,,,,1,,,,,,1,,,,,,,medium,,,,,1,,,,1,,,,,,,,,,1,,,high,,,,,,,,,,1,,100
,,,,,,,,1,,,,,,0,,,,,1,,,low,,,,,,0,,,,,,,,,,,,greek,,,,1,,,,medium,1,,1,,,,,,0,0,,1,,,1,1,,,1,,,breakfast,,,,,,,,,,,1,0,,,,,1,,,,,,high,,,,,,,,,,1,,,,,,low,,,0,,,,,,,,,,,,,,1,,100
1,,0,,,,,,1,,,,1,1,1,1,,0,,,,,,1,,,,,0,,,,1,,1,,,,,,,,0,,,,,,high,,,,,1,1,,,1,0,,,,,,,,,1,,,dinner,,,0,1,,,,,,,,,,,,,,0,,,medium,,low,medium,,,,,,,0,,,high,,,,1,,,,,0,,,,,,,,,,,,0,,,101
,,,,,0,0,,0,,,,,,0,,,,,,high,,,,,1,,,,,,,,,,medium,,0,,,greek,0,,,,1,medium,,high,,,,,,,1,,,,,,,1,1,,,,,,,lunch,1,,,1,,,,,,,,,,,,,,,,,large,1,,,,,,,0,,,0,,,,,,,,,high,,,,,,1,,1,,,,,,,,,102
,,,0,,,,,,,,,,,,,,,,,high,,,,,,,,,0,,,,,,,,,,,greek,,0,,,1,medium,,,,,,,1,,1,,,,,,,1,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,large,1,,,1,,,,,,,,,medium,,,0,,,,,,,,,,1,,,,,,,,,,,102
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,medium,smoked,,,,,0,0,,,1,,,,,,,,1,,1,,,,0,,,1,1,,,0,,0,,,1,,,1,,,,,,1,,,0,,,,,0,,,,1,,,1,,,,,0,,,,,,,,,high,,,,,,,high,1,,,,,,,,,,,102
0,,,,,0,0,,,,,,,,,0,,,,,high,0,low,,,1,,,,,0,,,,,,,,,,,,,,,1,,,,,,,0,1,,1,,,0,,,,,,,,0,,,,lunch,,,,,,,,,,1,,0,,,,,,,,0,,,,,,,,0,,,0,,,medium,,,,0,,,high,0,0,,,high,1,,,0,,0,,,,,,102
,,0,,0,0,,0,,,,,,,,,0,,,,,,,,,1,,,,,,0,,,,medium,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,0,0,,1,,,,,,,,,,,,1,,,1,,,0,,,,,0,medium,,,,,high,,high,,,,,high,1,,1,,0,,0,,,,,102
,,,1,,,,,,1,1,,0,,1,,,,,,medium,,,,,,,1,,,1,1,,,,,,,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,0,1,1,breakfast,,,,,,,,,,1,,,0,,,,,,,,large,1,low,,,,,0,,,,,,medium,,,,1,low,0,low,1,,,,,,0,1,0,,,,1,,1,,103
