alcohol,alfalfa,anise,apple juice,apples,apricots,artichoke,arugula,asparagus,basil,beans ,beef,beer,beets,berries,bread,broccoli,brussel sprouts,cabbage,cake,calories,candy,carbs,carrots,cauliflower,celery,cereal,cheese,cherries,chicken,chickpeas,chives,chocolate,cilantro,coconuts,cook level,cook style,cookies,corn,cornbread,cuisine,dairy,dates,dill,eggs,endive,fat,fennel,fiber,fish,fudge,garlic,ginger,gluten,grains,grapefruit,grapefruit juice,horseradish,hot peppers,ice cream,kale,kohlrabi,lamb,leek,lemons,lentils,lettuce,limes,lychees,mangoes,meal time,meat,melon,milk,mushrooms,nuts,okra,onions,orange juice,oranges,oregano,pancakes,parsley,parsnips,pasta,peaches,pears,peas,peppers,plums,pomeloes,portion size,potatoes,price,protein,pudding,pumpkin,radish,rhubarb,rice,rosemary,rutabegas,sage,salmon,salt,sardines,scallions,shallots,soda,sour,soy,spicy,spinach,sprouts,squash,strawberries,sweet,thyme,tomato,tortilla,tuna,turkey,turnips,waffles,wasabi,water,wine,yams,meal id
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,low,0,low,0,0,0,0,0,0,0,0,0,0,0,0,medium,grilled,0,0,0,greek,0,0,0,1,0,medium,0,medium,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,breakfast,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,large,0,high,medium,0,0,0,0,1,0,0,0,1,medium,0,0,0,0,low,0,high,0,1,0,0,high,0,0,0,0,0,0,0,0,0,1,0,100
1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,low,1,low,1,0,0,0,0,0,0,0,0,1,0,1,medium,grilled,0,0,0,greek,0,0,0,0,0,high,0,high,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,dinner,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,medium,0,low,medium,0,0,0,0,0,0,0,0,0,high,0,0,0,1,low,0,medium,0,0,0,0,high,0,0,1,0,0,0,0,0,0,0,0,101
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,0,low,0,0,1,0,0,0,0,0,0,0,0,0,medium,smoked,0,0,0,greek,0,0,0,0,1,medium,0,high,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,lunch,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,large,1,medium,medium,1,0,0,0,0,0,0,0,0,medium,0,0,0,0,high,0,high,0,0,0,0,high,1,0,1,0,0,0,0,0,0,0,0,102
1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,medium,0,medium,0,0,0,0,1,0,0,1,1,1,0,0,medium,steamed,0,0,1,italian,1,0,0,0,0,medium,0,low,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,breakfast,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,large,1,low,low,0,0,0,0,0,0,1,0,0,medium,0,0,0,1,low,0,low,1,0,0,0,medium,0,0,1,0,0,0,0,1,0,1,0,103
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,low,1,medium,1,0,0,0,0,0,0,1,0,0,0,1,well,fried,0,1,0,mexican,0,0,0,0,1,medium,1,high,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,lunch,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,large,0,medium,high,0,0,0,0,1,1,0,0,0,medium,0,0,0,0,medium,0,low,0,0,0,0,low,1,1,0,0,0,0,0,0,0,0,0,104
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium,0,high,0,0,1,0,1,0,1,0,1,0,0,0,rare,steamed,0,0,0,french,1,0,1,0,0,low,0,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lunch,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,medium,0,low,low,0,1,0,1,0,0,0,0,0,medium,0,0,0,0,medium,0,low,0,0,0,0,medium,0,0,0,0,0,0,0,0,0,0,0,105
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,medium,1,high,0,0,0,1,0,0,0,0,0,0,1,0,rare,fried,0,0,0,greek,0,0,0,0,0,medium,0,medium,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,breakfast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,large,0,medium,medium,0,0,0,0,0,1,0,0,1,high,0,0,0,0,high,1,high,0,0,0,0,low,0,1,0,0,0,0,0,0,0,0,0,106
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,medium,0,medium,0,0,0,0,0,0,0,0,0,0,0,1,well,sauteed,0,0,0,mexican,0,0,1,0,0,medium,1,high,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,breakfast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,large,0,high,medium,0,0,0,0,0,0,0,1,0,medium,0,0,0,0,low,0,low,0,0,1,0,medium,0,0,0,0,0,0,0,1,1,0,0,107
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,medium,0,low,0,0,0,0,0,1,0,0,0,0,0,0,well,fried,1,0,1,italian,1,0,0,0,1,medium,0,low,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,lunch,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,small,0,high,high,0,0,0,0,0,0,0,1,0,medium,0,0,0,0,low,0,low,0,1,0,0,low,1,1,1,0,0,0,0,1,1,0,1,108
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,low,1,high,0,0,0,0,0,0,0,1,0,0,1,0,medium,sauteed,0,0,0,chinese,0,1,0,0,0,high,1,low,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,breakfast,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,medium,0,high,high,0,1,0,0,0,0,0,0,0,medium,0,0,0,0,medium,0,high,0,0,0,0,high,1,0,0,1,0,0,0,0,0,0,1,109
